,open,high,low,close,adjclose,volume
2020-04-17,170.3520042896271,171.19500064849856,169.0439980506897,170.786993598938,163.86558246612552,3999640.0
2020-04-20,169.21190142631534,170.7469975948334,168.62100505828857,168.78499593734742,161.95492391586305,3128050.0
2020-04-21,166.89569430351256,167.47399845123292,164.92800364494323,165.37799582481387,158.7024831295014,4665090.0
2020-04-22,167.50499863624574,168.64199581146244,166.868997335434,167.84099969863894,161.05559930801394,3592190.0
2020-04-23,168.3510042190552,169.87700090408325,167.65600757598878,167.915505027771,161.13155727386476,4080540.0
2020-04-24,168.5370040893555,169.78799438476562,167.58200578689576,169.4819977760315,162.62664499282837,2750080.0
2020-04-27,170.30200166702272,171.58100709915163,168.4289954185486,171.1044994354248,164.17484855651855,2868450.0
2020-04-28,172.68599605560303,172.88599214553832,170.36400232315063,170.53100662231446,163.6263679504395,3543720.0
2020-04-29,172.97199926376342,174.4429986000061,172.4530037879944,173.68000183105468,166.63886413574218,4124600.0
2020-04-30,173.10470247268677,173.4460000038147,171.76600418090823,172.4710000038147,165.4843300819397,6078520.0
2020-05-01,170.46399822235108,170.81799774169923,168.85500240325928,169.34249992370607,162.54401359558108,3621660.0
2020-05-04,168.56799564361575,169.98299312591556,167.95900163650515,169.8500020027161,163.03123369216922,2669940.0
2020-05-05,170.98699655532835,172.116006565094,170.601007270813,170.8540062904358,163.99010248184203,3075970.0
2020-05-06,171.5259955406189,171.79700298309328,169.91100177764895,170.1110019683838,163.28248023986816,2329080.0
2020-05-07,171.54470586776736,172.6740029335022,171.2979994773865,171.78850498199463,164.8932107925415,3428410.0
2020-05-08,173.1390012741089,173.9929986000061,172.48599700927736,173.60299367904665,166.62194509506227,3275580.0
2020-05-11,172.62299804687498,174.18299493789675,172.28199691772463,173.40200490951537,166.42340993881226,4250860.0
2020-05-12,173.91800537109376,174.27600631713867,170.9749980926514,171.11300191879275,164.24077901840212,3561410.0
2020-05-13,171.01299877166747,171.5570004463196,168.10799903869628,169.24900350570678,162.46498250961304,4726330.0
2020-05-14,168.29700136184692,170.8379942893982,166.2969989776611,170.70800619125367,163.86174154281616,4767280.0
2020-05-15,169.7219995498657,171.30100479125977,169.13199939727787,171.13600435256959,164.26735811233522,3781300.0
2020-05-18,173.91600131988525,175.3890031814575,173.5960023880005,174.57800559997557,167.55262718200683,3309480.0
2020-05-19,174.3179967880249,175.1470042228699,173.3170036315918,173.4479953765869,166.47561988830566,2838510.0
2020-05-20,174.97300157546997,175.8809976577759,174.78600358963013,175.44149322509764,168.37837677001954,2472970.0
