,SMA_30,SMA_100,SMA_200,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2020-05-27,74.74991701602934,74.33299364995956,72.1456653380394,74.01076879233291,1.827491684110484,0.04751840799834284,1.7799732761121412,72.38437723868124,76.20298807382584,80.02159890897043,10.022207610665102,0.7780475929434622,61.156158636985126,78.79999856948852,79.04687356948851,78.37499829166546,78.72989089599237,84.26469864850276
2020-05-28,74.95400038083395,74.35466867375374,72.20413035535812,74.19646420688768,1.8083035840625143,0.022664246360298623,1.7856393377022157,73.02240920378598,76.52876327514647,80.03511734650696,9.163493361976794,0.8161743713282271,62.34385880211137,78.16166853904726,78.20575088262558,78.51671490941723,78.3746398537366,81.21689462331058
2020-05-29,75.20160873492559,74.38185369467735,72.26613785672187,74.37191657754246,1.7666397561807372,-0.015199665217183078,1.7818394213979203,73.16963607327482,76.71511326551438,80.26059045775393,9.2432300268358,0.7757578581171272,61.976558174951535,79.03749974568684,78.91825014352797,78.68798850090951,77.4058467535248,78.17012583441793
2020-06-01,75.4508088548978,74.4160037176609,72.32667285633086,74.57531203781288,1.7847022082368227,0.002290229471121785,1.782411978765701,73.3312318303636,76.95746318578719,80.58369454121078,9.423988799291116,0.8586419858126844,64.61691298208996,79.18833373387655,79.1116255044937,79.10658998803773,83.86638017883689,79.88228892869944
2020-06-02,75.67517552773157,74.44903875422477,72.39683286571503,74.77239789911759,1.7819055834748525,-0.0004051162326788038,1.7823106997075313,74.00794938283059,77.29292570590972,80.57790202898886,8.50006981383542,0.8513078281505219,64.74310214545928,79.43600125312804,79.39137626886367,79.50836233222877,88.13139427240064,83.13454040158746
2020-06-03,75.95536716858547,74.4833132417202,72.47030911970138,74.98727446862372,1.8113194741554821,0.023207019558360464,1.7881124545971216,74.50540502535249,77.61586315631867,80.72632128728485,8.015006222894678,0.9237136708197069,66.70129677163868,79.89991682370503,79.88731243610381,79.86630141478315,94.5664031043767,88.85472585187142
2020-06-04,76.3387837378184,74.5154682276249,72.540671615839,75.21328324986193,1.853508890575469,0.0523171487826779,1.8011917417927912,74.8329546896157,77.92006308317184,81.00717147672798,7.923783096173723,0.9584282354539294,68.16086815943214,80.65266585350035,80.61937470436095,80.12475155442628,95.52737500141075,92.74172412606269
2020-06-05,76.6276336812973,74.54351821827888,72.60422410178185,75.41060539607169,1.8251158490300412,0.019139285789799843,1.8059765632402414,75.1734260029932,78.16836301565169,81.16330002831019,7.662785549337444,0.8466909243469203,65.04870927192155,80.36416657765706,80.39799957275392,80.23436416783184,93.38678684746996,94.49352165108581
2020-06-08,76.98330041249594,74.58115075707435,72.67785286712646,75.6679837194288,1.9199779024658454,0.09120107138048317,1.8287768310853623,75.12941037146217,78.44366300106049,81.7579156306588,8.450020059755518,1.0325619430895958,70.08005313637987,81.5815826733907,81.36531242132186,80.66647473314299,92.5914300831126,93.83519731066444
2020-06-09,77.31191708723705,74.62517572951316,72.75076785945892,75.93214116063969,2.0067415386099583,0.1423717660196766,1.8643697725902817,75.00422115677338,78.69606299161912,82.38790482646485,9.38253247875666,1.0021796226059365,71.19155103298667,82.01499993006387,81.97625042200087,81.2458035834806,93.76307474988535,93.24709722682263
