,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-09-25,0.0665461189321519,-0.03138710009765103,0.09793321902980293
2019-09-26,0.05380039709268658,-0.03530625754969309,0.08910665464237967
2019-09-27,0.043919135747493954,-0.03615001511590858,0.08006915086340254
2019-09-30,0.01748907715074921,-0.05006405897012267,0.06755313612087188
2019-10-01,0.011898685271368947,-0.04452356067960235,0.0564222459509713
2019-10-02,-0.016867636962210497,-0.058631906330545436,0.04176426936833494
2019-10-03,-0.0636233897864571,-0.08431012732383363,0.020686737537376532
2019-10-04,-0.07232801335636196,-0.0744118007149908,0.002083787358628835
2019-10-07,-0.05662561643505626,-0.046967523034948076,-0.009658093400108184
2019-10-08,-0.056920155889613966,-0.037809649991604626,-0.01911050589800934
2019-10-09,-0.07776147098335429,-0.046920772068275954,-0.030840698915078332
2019-10-10,-0.0688334258722918,-0.03039418156577077,-0.03843924430652103
2019-10-11,-0.06671800909601444,-0.02262301183159473,-0.04409499726441971
2019-10-14,-0.061986967724728004,-0.014313576368246629,-0.047673391356481375
2019-10-15,-0.051750625094001634,-0.0032617869900162105,-0.048488838103985424
2019-10-16,-0.038514175407634355,0.00797973015708086,-0.046493905564715214
2019-10-17,-0.04557361391960768,0.0007362333160860282,-0.04630984723569371
2019-10-18,-0.04460221159388311,0.001366108513448483,-0.045968320107331595
2019-10-21,-0.06307645447837018,-0.013686507496830869,-0.04938994698153931
2019-10-22,-0.06650130189390069,-0.013689083929889094,-0.052812217964011594
2019-10-23,-0.07927573742207983,-0.021170815566454587,-0.05810492185562524
2019-10-24,-0.0887795949809913,-0.024539738500292854,-0.06423985648069845
2019-10-25,-0.0727181951059066,-0.006782670900166515,-0.06593552420574009
2019-10-28,-0.034975370099502356,0.024768123284990187,-0.059743493384492544
2019-10-29,0.011107732344221688,0.05668098058297139,-0.045573248238749704
2019-10-30,0.03440238899860759,0.06398050978988584,-0.029578120791278247
2019-10-31,0.06566283497546976,0.07619276461339841,-0.010529929637928644
2019-11-01,0.10201041464293326,0.09003227542468951,0.011978139218243738
2019-11-04,0.13786087006183578,0.10070618467487363,0.03715468538696215
2019-11-05,0.16884497143914245,0.10535222884174424,0.06349274259739822
2019-11-06,0.1816235485631168,0.09450464477257486,0.08711890379054194
2019-11-07,0.18812952474151956,0.08080849676078208,0.10732102798073748
2019-11-08,0.1826271208059822,0.060244874260195785,0.12238224654578642
2019-11-11,0.18365368285194705,0.049017149044928515,0.13463653380701854
2019-11-12,0.18172688907824153,0.03767228421697838,0.14405460486126315
2019-11-13,0.1824539166140582,0.030719449402236032,0.15173446721182215
2019-11-14,0.19043723599907025,0.030962215029798457,0.1594750209692718
2019-11-15,0.19747329171298134,0.03039861659496762,0.16707467511801372
2019-11-18,0.20919123842752896,0.033693250647612194,0.17549798777991676
2019-11-19,0.2183014177901157,0.03424274400815913,0.18405867378195656
2019-11-20,0.22406818322936317,0.032007607557925255,0.19206057567143792
2019-11-21,0.2231609677361277,0.024880313651751806,0.1982806540843759
2019-11-22,0.20483007758134164,0.005239538797572579,0.19959053878376906
2019-11-25,0.18972936433150522,-0.007888939561811081,0.1976183038933163
2019-11-26,0.19392433218470018,-0.0029551773668929082,0.19687950955159308
2019-11-27,0.20026591158941187,0.0027091216302550236,0.19755678995915685
2019-11-29,0.2148381605008538,0.013825096433357553,0.20101306406749625
2019-12-02,0.21559049657516738,0.011661946006136903,0.20392855056903048
2019-12-03,0.17926145741857624,-0.019733674520363398,0.19899513193893964
2019-12-04,0.146282678316922,-0.04216996289761413,0.18845264121453612
2019-12-05,0.11829912642615881,-0.056122811830701835,0.17442193825686064
2019-12-06,0.09319179880813522,-0.06498411155898035,0.15817591036711556
2019-12-09,0.08945017865816851,-0.054980585367157636,0.14443076402532615
2019-12-10,0.07967605252924415,-0.05180376919686561,0.13147982172610975
2019-12-11,0.07158881673407791,-0.04791280399362549,0.1195016207277034
2019-12-12,0.07919454483268851,-0.032245660716011926,0.11144020554870043
2019-12-13,0.09334503497993296,-0.014476136455013972,0.10782117143494693
2019-12-16,0.12027942895908694,0.009966606019312,0.11031282293977494
2019-12-17,0.1470312266889593,0.029374722999347472,0.11765650368961182
2019-12-18,0.16184784106352623,0.035353069899131506,0.12649477116439473
2019-12-19,0.17240959601105033,0.03673185987732447,0.13567773613372586
2019-12-20,0.18374522895385326,0.03845399425610191,0.14529123469775135
2019-12-23,0.19994564405592996,0.0437235274865429,0.15622211656938706
2019-12-24,0.15244510913844067,-0.0030216059447571164,0.1554667150831978
2019-12-26,0.11532700984158595,-0.03211176419328948,0.14743877403487543
2019-12-27,0.09833335986989056,-0.039284331331987915,0.13761769120187847
2019-12-30,0.08190442785210195,-0.04457061067982121,0.12647503853192316
2019-12-31,0.05334140654352382,-0.05850690559071947,0.11184831213424329
2020-01-02,0.032509108942505804,-0.06347136255338999,0.0959804714958958
2020-01-03,0.04956054029346291,-0.03713594496194632,0.08669648525540923
2020-01-06,0.05972259626725673,-0.021579111190522,0.08130170745777873
2020-01-07,0.07314614500887728,-0.006524449959121173,0.07967059496799846
2020-01-08,0.0896103552280394,0.007951808208032748,0.08165854702000665
2020-01-09,0.10485489907166823,0.01855708164132927,0.08629781743033896
2020-01-10,0.1321004530824368,0.03664210852167826,0.09545834456075852
2020-01-13,0.1564085900873593,0.0487601964212806,0.1076483936660787
2020-01-14,0.1845198634771137,0.06149717584882798,0.1230226876282857
2020-01-15,0.20332493807425323,0.06424180035677401,0.1390831377174792
2020-01-16,0.22355879505153098,0.06758052586724142,0.15597826918428956
2020-01-17,0.2548524355020092,0.07909933305417571,0.1757531024478335
2020-01-21,0.28855149261327995,0.09023871213235715,0.1983127804809228
2020-01-22,0.31477652099213316,0.09317099240896826,0.2216055285831649
2020-01-23,0.3385166666894932,0.09352891048506262,0.24498775620443058
2020-01-24,0.36474583338846855,0.0958064617472304,0.26893937164123816
2020-01-27,0.3827345655408081,0.0910361551196559,0.2916984104211522
2020-01-28,0.37052941583397114,0.06306480433025519,0.30746461150371596
2020-01-29,0.3822715516340267,0.05984555210424858,0.32242599952977813
2020-01-30,0.4051432374603152,0.06617379034442966,0.33896944711588556
2020-01-31,0.4363145460938327,0.07787607918235767,0.358438466911475
2020-02-03,0.4139638654016693,0.044420318792155356,0.36954354660951394
