index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2022-09-06,105.37250084877013,1,700,0.0,73760.75059413908,104105.72644829752,177866.4770424366,-0.0029488482248439807,0.1857765136162517
2022-09-07,106.85200119018555,1,700,0.0,74796.40083312988,104105.72644829752,178902.12728142738,0.005822627491203436,0.19268084854285705
2022-09-08,107.17399544715882,1,700,0.0,75021.79681301117,104105.72644829752,179127.52326130867,0.0012598842915194641,0.19418348840873234
2022-09-09,109.35199780464171,1,700,0.0,76546.39846324919,104105.72644829752,180652.1249115467,0.008511264056355827,0.20434749941031916
2022-09-12,111.07799577713013,1,700,0.0,77754.59704399109,104105.72644829752,181860.3234922886,0.006687984330842722,0.21240215661526496
2022-09-13,105.60999994277954,1,700,0.0,73926.99995994568,104105.72644829752,178032.72640824318,-0.021046905727118204,0.18688484272162875
2022-09-14,105.85499672889708,1,700,0.0,74098.49771022795,104105.72644829752,178204.22415852547,0.000963293399714793,0.18802816105684395
2022-09-15,103.58349485397339,1,700,0.0,72508.44639778137,104105.72644829752,176614.17284607887,-0.008922635363750597,0.1774278189738665
2022-09-16,103.05850467681884,1,700,0.0,72140.9532737732,104105.72644829752,176246.6797220707,-0.0020807680271982543,0.17497786481381183
2022-09-19,103.61950168609619,1,700,0.0,72533.65118026733,104105.72644829752,176639.37762856483,0.002228115202586478,0.17759585085710605
2022-09-20,103.01149501800538,1,700,0.0,72108.04651260376,104105.72644829752,176213.77296090126,-0.0024094552040289097,0.17475848640601566
2022-09-21,101.56649875640869,1,700,0.0,71096.54912948608,104105.72644829752,175202.27557778358,-0.005740172099612861,0.1680151705185644
2022-09-22,100.64449796676634,1,700,0.0,70451.14857673644,104105.72644829752,174556.87502503395,-0.0036837452631321987,0.1637125001669002
2022-09-23,99.23024864196778,1,700,0.0,69461.17404937744,104105.72644829752,173566.90049767494,-0.005671357987000136,0.15711266998450668
2022-09-26,98.49049849510192,0,350,-350.0,34471.67447328567,138577.40092158318,173049.07539486885,-0.002983432332554825,0.153660502632466
2022-09-27,98.61650032997132,0,350,0.0,34515.77511548996,138577.40092158318,173093.17603707314,0.00025484471444681134,0.15395450691382795
2022-09-28,99.75699768066406,0,350,0.0,34914.94918823242,138577.40092158318,173492.3501098156,0.0023061225282328124,0.15661566739877775
2022-09-29,97.3859990119934,0,350,0.0,34085.09965419769,138577.40092158318,172662.50057578087,-0.004783205331586382,0.1510833371718796
2022-09-30,95.70649890899656,0,350,0.0,33497.2746181488,138577.40092158318,172074.67553973198,-0.0034044742436177833,0.1471645035982203
2022-10-03,98.44899959564209,0,350,0.0,34457.14985847473,138577.40092158318,173034.5507800579,0.005578248149038512,0.15356367186705966
2022-10-04,101.5350001335144,0,350,0.0,35537.25004673004,138577.40092158318,174114.65096831322,0.006242107043859857,0.16076433978876192
2022-10-05,101.85499868392945,0,350,0.0,35649.249539375305,138577.40092158318,174226.65046095848,0.0006432513979863774,0.16151100307306376
2022-10-06,101.15549817085267,0,350,0.0,35404.42435979843,138577.40092158318,173981.8252813816,-0.0014052108499424953,0.15987883520921797
2022-10-07,97.44799757003784,0,350,0.0,34106.799149513245,138577.40092158318,172684.20007109642,-0.007458395198386536,0.15122800047398344
2022-10-10,95.97849855422973,0,350,0.0,33592.47449398041,138577.40092158318,172169.87541556358,-0.002978411778964629,0.14779916943709792
2022-10-11,94.60849857330322,0,350,0.0,33112.97450065613,138577.40092158318,171690.3754222393,-0.0027850400203108805,0.14460250281493603
2022-10-12,94.35399832725523,0,350,0.0,33023.89941453933,138577.40092158318,171601.3003361225,-0.0005188123440100778,0.14400866890749087
2022-10-13,96.92000007629393,0,350,0.0,33922.00002670287,138577.40092158318,172499.40094828606,0.005233646891978028,0.14999600632191457
2022-10-14,94.44100208282471,0,350,0.0,33054.35072898865,138577.40092158318,171631.75165057182,-0.005029868468785836,0.14421167767048626
2022-10-17,97.00500044822694,0,350,0.0,33951.750156879425,138577.40092158318,172529.1510784626,0.005228632926370214,0.15019434052309144
2022-10-18,97.69249806404112,0,350,0.0,34192.37432241439,138577.40092158318,172769.77524399757,0.0013946870081424922,0.1517985016266581
2022-10-19,97.3834991455078,0,350,0.0,34084.22470092773,138577.40092158318,172661.6256225109,-0.0006259753555500902,0.15107750415008026
2022-10-20,97.41199893951415,0,350,0.0,34094.19962882995,138577.40092158318,172671.60055041313,5.777153936925572e-05,0.15114400366942826
2022-10-21,99.78949766159056,0,350,0.0,34926.324181556694,138577.40092158318,173503.72510313988,0.00481911646196731,0.15669150068760662
2022-10-24,101.00199809074401,0,350,0.0,35350.69933176041,138577.40092158318,173928.10025334358,0.0024459137690064914,0.15952066835563117
2022-10-25,102.81900086402894,0,350,0.0,35986.650302410126,138577.40092158318,174564.0512239933,0.003656401522947661,0.163760341493296
2022-10-26,100.93350048065184,0,350,0.0,35326.72516822814,138577.40092158318,173904.12608981133,-0.0037804183023638638,0.15936084059874944
2022-10-27,99.89000024795531,0,350,0.0,34961.50008678436,138577.40092158318,173538.90100836754,-0.002100151903556169,0.1569260067224576
2022-10-28,103.58700146675109,0,350,0.0,36255.450513362885,138577.40092158318,174832.85143494606,0.007456255738971906,0.1655523428996477
2022-10-31,102.31400184631346,0,350,0.0,35809.90064620971,138577.40092158318,174387.3015677929,-0.002548433337878464,0.16258201045195997
