index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-01-07,131.56324462890623,0,350,0.0,46047.13562011718,105277.70097732544,151324.83659744263,-0.002875337196622807,0.008832243982950239,-0.009387516528784112,0.029623624598792198,-0.004050216740091761,0.04247665773861686
2022-01-10,131.48950490951538,0,350,0.0,46021.32671833038,105277.70097732544,151299.02769565582,-0.0001705529797164651,0.008660184637704793,-0.0005604887565584526,0.029046532133717662,-0.0014410312534549607,0.04097441629381815
2022-01-11,133.1289978981018,0,350,0.0,46595.14926433563,105277.70097732544,151872.85024166107,0.0037926386887265906,0.012485668277739892,0.012468622417542985,0.0418773247929749,0.009159984668711818,0.05050972598759085
2022-01-12,133.88500385284422,0,350,0.0,46859.751348495476,105277.70097732544,152137.45232582092,0.0017422606064139146,0.014249682172138955,0.005678747430526654,0.04779388297406695,0.002817754443029452,0.05346980443543803
2022-01-13,130.5674964904785,0,350,0.0,45698.62377166747,105277.70097732544,150976.32474899292,-0.007632095575922371,0.006508831659952197,-0.024778782290002077,0.021830826463056674,-0.0142436152864307,0.03846458582518819
2022-01-14,131.57899618148804,0,350,0.0,46052.64866352081,105277.70097732544,151330.34964084625,0.002344903364430939,0.008868997605641082,0.007746948652594288,0.02974689740730385,0.0008199802697488323,0.03931610629639781
2022-01-18,128.50399932861328,1,700,350.0,89952.7995300293,60301.30121231079,150254.1007423401,-0.0071119170811435595,0.0016940049489333475,-0.023369967412073867,0.005681745972210939,-0.018387945694007368,0.020205218174912387
2022-01-19,126.88750324249268,1,700,0.0,88821.25226974487,60301.30121231079,149122.55348205566,-0.00753089103521265,-0.005849643452962794,-0.012579344569555784,-0.006969071237685975,-0.009689541868338813,0.010319896999108735
2022-01-20,125.59550495147704,1,700,0.0,87916.85346603392,60301.30121231079,148218.15467834473,-0.006064802289076687,-0.011878968811035673,-0.010182234325680772,-0.01708034484699228,-0.01103737849414832,-0.0008313861042393844
2022-01-21,122.8995012283325,1,700,0.0,86029.65085983275,60301.30121231079,146330.95207214355,-0.01273260087670558,-0.024460319519043483,-0.021465766025512867,-0.03817946818638451,-0.018914821867908604,-0.019730482452082865
2022-01-24,123.45255336761474,1,700,0.0,86416.78735733032,60301.30121231079,146718.0885696411,0.002645622761387356,-0.021879409535726535,0.004500035669426694,-0.03385124148563634,0.002771738943381896,-0.017013431255285094
2022-01-25,120.87699508666992,1,700,0.0,84613.89656066895,60301.30121231079,144915.19777297974,-0.012288128984216051,-0.03389868151346909,-0.020862738037303874,-0.0540077499395879,-0.012171906253646725,-0.02897825161863965
