index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-09-07,209.90700263977052,1,400,0.0,83962.8010559082,59152.53677368164,143115.33782958984,0.008748615075971022,-0.04589774780273448,0.015004572191997356,-0.13470384773374822
2022-09-08,210.77399930953982,1,400,0.0,84309.59972381593,59152.53677368164,143462.13649749756,0.0024232110489839087,-0.04358575668334963,0.004130384688771915,-0.1311298417551744
2022-09-09,213.45300397872924,0,200,-200.0,42690.60079574585,101843.13756942749,144533.73836517334,0.007469579736075316,-0.03644174423217772,0.012710318530584352,-0.1200862252821634
2022-09-12,215.2710063934326,0,200,0.0,43054.20127868652,101843.13756942749,144897.338848114,0.0025156789484128694,-0.034017741012573155,0.0085171085944733,-0.11259190410911868
2022-09-13,207.62200527191163,0,200,0.0,41524.401054382324,101843.13756942749,143367.5386238098,-0.010557821395931755,-0.04421640917460112,-0.03553196154776894,-0.14412325444949237
2022-09-14,208.14699678421024,0,200,0.0,41629.39935684205,101843.13756942749,143472.53692626953,0.0007323715219469396,-0.04351642049153637,0.002528592822379494,-0.14195909065385182
2022-09-15,206.142001914978,1,400,200.0,82456.80076599121,60614.737186431885,143071.5379524231,-0.002794952835137421,-0.046189746983845925,-0.009632590910311545,-0.150224247717895
2022-09-16,205.02300148010258,1,400,0.0,82009.20059204103,60614.737186431885,142623.9377784729,-0.003128506063162839,-0.04917374814351383,-0.005428299058320762,-0.15483708463379176
2022-09-19,206.14600105285646,1,400,0.0,82458.40042114258,60614.737186431885,143073.13760757446,0.0031495402251426885,-0.04617908261617021,0.005477432115648995,-0.1502077621382093
2022-09-20,204.11799697875975,1,400,0.0,81647.1987915039,60614.737186431885,142261.9359779358,-0.005669838819524986,-0.051587093480428,-0.009837707565215958,-0.15856776966548403
2022-09-21,201.50600185394288,1,400,0.0,80602.40074157715,60614.737186431885,141217.13792800903,-0.007344185517683344,-0.05855241381327303,-0.012796495965461951,-0.16933515380616926
2022-09-22,199.84900035858155,1,400,0.0,79939.60014343262,60614.737186431885,140554.3373298645,-0.004693485563221245,-0.06297108446756994,-0.008223087551319508,-0.17616578356222445
2022-09-23,197.18250675201418,1,400,0.0,78873.00270080566,60614.737186431885,139487.73988723755,-0.00758850607451389,-0.07008173408508289,-0.013342541627843985,-0.1871578258894877
2022-09-26,194.56299962997437,1,400,0.0,77825.19985198975,60614.737186431885,138439.93703842163,-0.007511791714906013,-0.07706708641052229,-0.013284683135376785,-0.19795617661161657
2022-09-27,194.0629963874817,1,400,0.0,77625.19855499268,60614.737186431885,138239.93574142456,-0.0014446791964486394,-0.07840042839050276,-0.0025698783604467534,-0.20001733167747238
2022-09-28,197.58399620056153,1,400,0.0,79033.59848022461,60614.737186431885,139648.3356666565,0.010188082898608508,-0.06901109555562313,0.018143591919242086,-0.18550277260096204
2022-09-29,194.34899921417235,1,400,0.0,77739.59968566895,60614.737186431885,138354.33687210083,-0.009266123999103426,-0.07763775418599417,-0.01637276828385148,-0.19883834697300595
2022-09-30,191.9629970550537,1,400,0.0,76785.19882202148,60614.737186431885,137399.93600845337,-0.006898235973114009,-0.0840004266103106,-0.012276894497868063,-0.20867412406295593
2022-10-03,196.0700063705444,1,400,0.0,78428.00254821776,60614.737186431885,139042.73973464966,0.011956364565520738,-0.07304840176900196,0.021394796801973426,-0.19174386774313923
2022-10-04,200.73400268554687,0,200,-200.0,40146.800537109375,100761.53772354126,140908.33826065063,0.013417446531629684,-0.06061107826232881,0.02378740329200668,-0.17251755316190776
2022-10-05,200.12999687194824,0,200,0.0,40025.99937438965,100761.53772354126,140787.5370979309,-0.000857303153318556,-0.06141641934712705,-0.0030089860487901854,-0.17500743630006232
2022-10-06,198.4730010032654,0,200,0.0,39694.60020065308,100761.53772354126,140456.13792419434,-0.002353895668379069,-0.06362574717203762,-0.008279597734381805,-0.1818380428613542
2022-10-07,194.04999465942385,0,200,0.0,38809.998931884766,100761.53772354126,139571.53665542603,-0.006298060603415867,-0.06952308896382642,-0.02228517894869131,-0.20007092848520047
2022-10-10,192.83799800872805,0,200,0.0,38567.59960174561,100761.53772354126,139329.13732528687,-0.0017367389938365285,-0.07113908449808748,-0.006245795846699043,-0.20506712215772138
2022-10-11,191.87800483703614,1,400,200.0,76751.20193481445,62385.93675613403,139137.1386909485,-0.001378022128208034,-0.07241907539367665,-0.004978236559209925,-0.20902448607231372
2022-10-12,191.54000577926638,1,400,0.0,76616.00231170656,62385.93675613403,139001.93906784058,-0.0009717004703411192,-0.07332040621439606,-0.0017615310210090662,-0.21041781397695591
2022-10-13,195.13700370788575,0,200,-200.0,39027.40074157715,101413.33749771118,140440.73823928833,0.010350928779098156,-0.06372841173807764,0.01877935585302537,-0.19558996913041948
2022-10-14,191.62299785614016,0,200,0.0,38324.599571228035,101413.33749771118,139737.9370689392,-0.0050042543150952135,-0.06841375287373841,-0.01800789078941667,-0.2100756971162302
2022-10-17,195.4249941825867,0,200,0.0,39084.998836517334,101413.33749771118,140498.33633422852,0.005441609352756949,-0.06334442443847643,0.01984102309734692,-0.19440279077755762
2022-10-18,197.1739947319031,0,200,0.0,39434.798946380615,101413.33749771118,140848.1364440918,0.0024897099779968013,-0.06101242370605453,0.008949728035720472,-0.1871929148486814
2022-10-19,195.9010036468506,0,200,0.0,39180.20072937012,101413.33749771118,140593.5382270813,-0.00180760799140256,-0.06270974515279115,-0.006456181439055242,-0.19244054486536788
2022-10-20,194.45400562286375,0,200,0.0,38890.80112457275,101413.33749771118,140304.13862228394,-0.0020584132702452518,-0.06463907585144024,-0.007386373714528549,-0.19840548079769338
2022-10-21,198.24099979400637,0,200,0.0,39648.19995880128,101413.33749771118,141061.53745651245,0.005398264382403761,-0.059589750289916754,0.019475012402096592,-0.18279441759477577
2022-10-24,200.08899602890017,0,200,0.0,40017.79920578004,101413.33749771118,141431.1367034912,0.002620127737461342,-0.05712575531005837,0.009321967891677607,-0.17517645339469456
2022-10-25,202.84700269699098,0,200,0.0,40569.40053939819,101413.33749771118,141982.73803710938,0.0039001407078738115,-0.053448413085937396,0.013783899778738729,-0.16380716829314323
2022-10-26,201.8279991149902,0,200,0.0,40365.59982299804,101413.33749771118,141778.93732070923,-0.0014353908032600504,-0.054807084528605055,-0.005023508202992466,-0.16800778984250608
2022-10-27,201.21299495697025,0,200,0.0,40242.59899139405,101413.33749771118,141655.93648910522,-0.0008675536291103958,-0.05562709007263167,-0.003047169672774519,-0.17054301127328264
2022-10-28,204.57899942398072,0,200,0.0,40915.79988479614,101413.33749771118,142329.13738250732,0.004752366262136043,-0.051139084116617606,0.016728564016107894,-0.1566673869387597
2022-10-31,203.35200386047362,0,200,0.0,40670.40077209473,101413.33749771118,142083.7382698059,-0.0017241663739021584,-0.05277507820129379,-0.005997661377569852,-0.1617254103805622
2022-11-01,202.62299966812134,0,200,0.0,40524.59993362427,101413.33749771118,141937.93743133545,-0.0010261613344771936,-0.05374708379109683,-0.0035849373426999342,-0.1647305722603254
2022-11-02,198.587002658844,0,200,0.0,39717.4005317688,101413.33749771118,141130.73802947998,-0.005686988387061498,-0.05912841313679995,-0.019918750664475127,-0.18136809572913082
2022-11-03,196.92800292968752,0,200,0.0,39385.60058593751,101413.33749771118,140798.93808364868,-0.0023510112004232475,-0.06134041277567537,-0.008354019683788128,-0.18820696277118665
2022-11-04,199.1653970718384,0,200,0.0,39833.07941436768,101413.33749771118,141246.41691207886,0.0031781406487905173,-0.05835722058614079,0.011361482922008559,-0.17898379004250597
2022-11-07,200.5229998588562,0,200,0.0,40104.59997177124,101413.33749771118,141517.93746948242,0.0019223181963798908,-0.05654708353678384,0.00681645911879003,-0.1733873666114668
2022-11-08,201.3994032859802,0,200,0.0,40279.880657196045,101413.33749771118,141693.21815490723,0.0012385757491879534,-0.05537854563395184,0.004370588050951252,-0.1697745833132135
2022-11-09,198.22049589157106,0,200,0.0,39644.09917831421,101413.33749771118,141057.4366760254,-0.004487028293667206,-0.05961708882649741,-0.015784095397220255,-0.18287894049139464
2022-11-10,207.2440015792847,0,200,0.0,41448.80031585694,101413.33749771118,142862.13781356812,0.012794087146838606,-0.04758574790954584,0.04552256640831742,-0.1456814927962795
2022-11-11,208.64900484085086,0,200,0.0,41729.80096817017,101413.33749771118,143143.13846588135,0.0019669357928826514,-0.045712410227457534,0.006779464065832741,-0.139889671175916
2022-11-14,207.24549827575683,0,200,0.0,41449.09965515137,101413.33749771118,142862.43715286255,-0.001960983362717772,-0.047583752314249494,-0.006726639152506708,-0.14567532298925945
2022-11-15,208.8769971847534,0,200,0.0,41775.39943695068,101413.33749771118,143188.73693466187,0.0022840138268829246,-0.04540842043558724,0.007872300834374402,-0.13894982212160112
2022-11-16,207.78899564743043,0,200,0.0,41557.799129486084,101413.33749771118,142971.13662719727,-0.0015196747462329352,-0.04685908915201786,-0.0052088145271479425,-0.1434348727967374
2022-11-17,207.0109973907471,0,200,0.0,41402.19947814942,101413.33749771118,142815.5369758606,-0.0010883291201804202,-0.04789642016092899,-0.0037441744894104456,-0.1466420020945305
2022-11-18,207.58999824523926,0,200,0.0,41517.99964904785,101413.33749771118,142931.33714675903,0.0008108373455053552,-0.047124419021606134,0.002796956981948373,-0.14425519648418728
2022-11-21,206.95000524520876,0,200,0.0,41390.00104904175,101413.33749771118,142803.33854675293,-0.0008955251001022679,-0.04797774302164681,-0.0030829664504088417,-0.1468934290035382
2022-11-22,209.23540153503419,0,200,0.0,41847.080307006836,101413.33749771118,143260.41780471802,0.003200760308663453,-0.04493054796854634,0.01104322895337706,-0.13747237781839383
2022-11-23,210.42099742889405,0,200,0.0,42084.19948577881,101413.33749771118,143497.53698349,0.0016551618542337554,-0.043349753443399974,0.005666325512613479,-0.13258501554749236
2022-11-25,210.39899969100952,0,200,0.0,42079.799938201904,101413.33749771118,143493.1374359131,-3.0659394365861736e-05,-0.04337908376057931,-0.00010454155314021385,-0.13267569645718413
2022-11-28,207.81000003814697,0,200,0.0,41562.000007629395,101413.33749771118,142975.33750534058,-0.0036085344555503163,-0.04683108329772934,-0.012305189932769411,-0.14334828674558542
2022-11-29,207.46000280380252,0,200,0.0,41492.000560760505,101413.33749771118,142905.33805847168,-0.0004895910587815466,-0.047297746276855235,-0.001684217478851835,-0.14479107453433693
2022-11-30,212.75300436019901,0,200,0.0,42550.6008720398,101413.33749771118,143963.93836975098,0.007407703068769589,-0.04024041086832664,0.025513359128805924,-0.12297182208877122
2022-12-01,212.9099976539612,0,200,0.0,42581.999530792236,101413.33749771118,143995.33702850342,0.00021810085989582007,-0.040031086476643774,0.0007379134044864788,-0.12232465124017822
2022-12-02,212.77799606323242,0,200,0.0,42555.599212646484,101413.33749771118,143968.93671035767,-0.00018334147959619962,-0.04020708859761546,-0.0006199877515536967,-0.12286879920624993
2022-12-05,209.4630029678345,0,200,0.0,41892.6005935669,101413.33749771118,143305.93809127808,-0.004605150487521081,-0.044627079391479474,-0.015579586032066883,-0.1365341402104263
2022-12-06,207.3019931793213,0,200,0.0,41460.39863586426,101413.33749771118,142873.73613357544,-0.003015938930788442,-0.047508425776163765,-0.01031690445517508,-0.14544243498618092
2022-12-07,207.21200284957885,0,200,0.0,41442.40056991577,101413.33749771118,142855.73806762695,-0.00012597182964169118,-0.04762841288248698,-0.0004341025783799468,-0.14581340062852755
2022-12-08,208.29000520706177,0,200,0.0,41658.00104141235,101413.33749771118,143071.33853912354,0.0015092181414129158,-0.04619107640584297,0.005202412710934912,-0.14136956940644718
2022-12-09,206.96400480270387,0,200,0.0,41392.80096054077,101413.33749771118,142806.13845825195,-0.0018536213023481185,-0.0479590769449868,-0.006366125935998279,-0.14683571886008617
2022-12-12,209.13999538421632,0,200,0.0,41827.99907684326,101413.33749771118,143241.33657455444,0.003047474856479715,-0.04505775616963692,0.010513860048208867,-0.13786566901005037
2022-12-13,210.04500417709355,0,200,0.0,42009.00083541871,101413.33749771118,143422.33833312988,0.0012636140021022868,-0.043851077779133885,0.004327287046242079,-0.13413496628743693
2022-12-14,209.17700328826908,0,200,0.0,41835.400657653816,101413.33749771118,143248.738155365,-0.0012104124070384525,-0.04500841229756647,-0.004132451958212879,-0.13771311194155045
2022-12-15,205.1090033531189,0,200,0.0,41021.80067062378,101413.33749771118,142435.13816833496,-0.005679631091393023,-0.05043241221109995,-0.01944764420180556,-0.15448256054039333
2022-12-16,203.1760009288788,1,400,200.0,81270.40037155153,60778.137311935425,142048.53768348694,-0.0027142212927201426,-0.05300974877675346,-0.009424269011303332,-0.16245094434360907
2022-12-19,201.72999715805054,1,400,0.0,80691.99886322021,60778.137311935425,141470.13617515564,-0.004071858237781334,-0.0568657588322955,-0.0071170008476268976,-0.1684117816826447
2022-12-20,201.78399715423586,1,400,0.0,80713.59886169435,60778.137311935425,141491.73617362976,0.00015268238978283222,-0.056721758842467995,0.0002676845136868611,-0.1681891783948367
2022-12-21,204.09700136184694,1,400,0.0,81638.80054473877,60778.137311935425,142416.9378566742,0.006538909678153182,-0.050553747622171685,0.01146277326364542,-0.15865431954853015
2022-12-22,201.94100112915038,1,400,0.0,80776.40045166016,60778.137311935425,141554.53776359558,-0.006055460158443493,-0.056303081576029146,-0.010563605630217743,-0.16754196351550665
