index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-04-12,229.0149950027466,0,200,0.0,45802.99900054932,100143.5990524292,145946.59805297852,-0.0006299728425062101,-0.027022679646810155,-0.0020045833370109234,-0.05593528803214154
2022-04-13,231.33600502014164,0,200,0.0,46267.20100402833,100143.5990524292,146410.80005645752,0.003180629145672187,-0.023927999623616802,0.010134751295945543,-0.046367426969068815
2022-04-14,228.79700355529786,0,200,0.0,45759.40071105957,100143.5990524292,145902.99976348877,-0.0034683253747191944,-0.02731333491007515,-0.010975383899374913,-0.05683391055703202
2022-04-18,228.9229955673218,0,200,0.0,45784.59911346436,100143.5990524292,145928.19816589355,0.00017270654095957738,-0.02714534556070991,0.0005506716000041045,-0.056314535777488794
2022-04-19,231.54899616241454,0,200,0.0,46309.79923248291,100143.5990524292,146453.3982849121,0.0035990310688376326,-0.023644011433919587,0.011471108826725418,-0.04548941711919352
2022-04-20,231.53599967956544,0,200,0.0,46307.199935913086,100143.5990524292,146450.79898834229,-1.7748284439011996e-05,-0.023661340077718362,-5.6128435296676216e-05,-0.045542992304684726
2022-04-21,228.67199993133545,0,200,0.0,45734.39998626709,100143.5990524292,145877.9990386963,-0.00391121082030832,-0.02748000640869175,-0.012369565649374747,-0.05734921092087775
2022-04-22,223.6189992904663,1,400,200.0,89447.59971618652,55419.79919433594,144867.39891052246,-0.006927707638118563,-0.034217340596517265,-0.022097155062213325,-0.0781791115766769
2022-04-25,224.8840047836304,0,200,-200.0,44976.800956726074,100396.60015106201,145373.4011077881,0.0034928645165925865,-0.030843992614746463,0.0056569678657802935,-0.07296440043286112
2022-04-26,219.92100639343263,1,400,200.0,87968.40255737305,56412.39887237549,144380.80142974854,-0.006827931867010362,-0.03746132380167677,-0.022069148025769314,-0.09342328630486607
2022-04-27,220.29499778747558,1,400,0.0,88117.99911499023,56412.39887237549,144530.39798736572,0.0010361249981700738,-0.03646401341756211,0.00170057149235614,-0.09188158778992217
2022-04-28,224.5389970779419,0,200,-200.0,44907.79941558838,101320.19828796387,146227.99770355225,0.011745624033602464,-0.02514668197631853,0.019265073347514816,-0.07438661997046636
2022-04-29,217.76600017547608,1,400,200.0,87106.40007019043,57766.99825286865,144873.39832305908,-0.009263611632290392,-0.034177344512939634,-0.030164011555261272,-0.10230683266138163
2022-05-02,218.56299915313724,0,200,-200.0,43712.59983062745,101479.5980834961,145192.19791412354,0.002200539193217166,-0.032052013905843224,0.0036598871128594723,-0.09902137700693703
2022-05-03,219.31199760437013,0,200,0.0,43862.39952087402,101479.5980834961,145341.99760437012,0.0010317337460183928,-0.03105334930419934,0.0034269224623335592,-0.0959337931257197
2022-05-04,224.83199653625488,0,200,0.0,44966.39930725098,101479.5980834961,146445.99739074707,0.007595875965473509,-0.023693350728353102,0.025169616765985614,-0.07317879316761577
2022-05-05,218.18300342559814,0,200,0.0,43636.60068511963,101479.5980834961,145116.19876861572,-0.00908047093006703,-0.03255867487589548,-0.02957316224154316,-0.10058782708617275
2022-05-06,217.18199653625487,0,200,0.0,43436.39930725098,101479.5980834961,144915.99739074707,-0.0013795935916697255,-0.0338933507283532,-0.0045879233195386115,-0.10471426116816096
2022-05-09,211.69140663146973,1,400,200.0,84676.56265258789,59141.31675720215,143817.87940979004,-0.0075776173833734806,-0.041214137268066775,-0.02528105456415486,-0.1273480287820784
2022-05-10,212.0739959716797,0,200,-200.0,42414.79919433594,101556.11595153809,143970.91514587402,0.0010640939548824946,-0.04019389902750692,0.0018072974538640985,-0.12577088709638673
2022-05-11,209.4300048828125,0,200,0.0,41886.0009765625,101556.11595153809,143442.1169281006,-0.0036729517016520496,-0.04371922047932986,-0.012467304521485367,-0.13667016766850404
