index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-04-03,64.27250220775603,0,350,0.0,22495.37577271461,132817.71577477455,155313.09154748917,-0.002098113914368982,0.0354206103165946,-0.014308595361805065,0.04458032267793732,-0.015137125124949469,-0.11433422605042531
2020-04-06,68.99699788093567,0,350,0.0,24148.949258327484,132817.71577477455,156966.66503310204,0.010646710262072645,0.04644443355401373,0.07350726221779968,0.12136456236457827,0.07033131865275055,-0.052044184282942885
2020-04-07,68.43549766540526,0,350,0.0,23952.424182891842,132817.71577477455,156770.1399576664,-0.0012520179070771853,0.045134266384442956,-0.008138038360732014,0.11223885453968996,-0.0016030527844311804,-0.05356380749284584
2020-04-08,70.04800035953521,0,350,0.0,24516.800125837322,132817.71577477455,157334.51590061188,0.003600021937199882,0.048896772670746325,0.02356237258642868,0.13844584083545675,0.03405645287963033,-0.02133154789914915
2020-04-09,70.07049803733825,0,350,0.0,24524.67431306839,132817.71577477455,157342.39008784294,5.0047424025034815e-05,0.048949267252286655,0.0003211751611404967,0.13881148136183685,0.014487410153376512,-0.007153176629393965
2020-04-13,70.09399967193603,0,350,0.0,24532.899885177612,132817.71577477455,157350.61565995216,5.227816931352436e-05,0.04900410439968139,0.00033539985095099034,0.13919343856294697,-0.010104660822607414,-0.017185557028357112
2020-04-14,72.62350091934204,0,350,0.0,25418.22532176971,132817.71577477455,158235.94109654427,0.0056264504138030524,0.05490627397696213,0.03608727222365582,0.18030382229577047,0.030572589146256046,0.012861625143621325
2020-04-15,71.24224903583527,0,350,0.0,24934.787162542347,132817.71577477455,157752.5029373169,-0.0030551729011578654,0.051683352915446346,-0.019019351394816697,0.1578552091468819,-0.022030438529415775,-0.009452160627909434
2020-04-16,72.08249721527099,0,350,0.0,25228.874025344845,132817.71577477455,158046.5898001194,0.001864229456437494,0.0536439320007962,0.0117942399462021,0.17151123130652013,0.005816689462164515,-0.0036904514488639295
2020-04-17,72.87000131607054,0,350,0.0,25504.50046062469,132817.71577477455,158322.21623539925,0.0017439568650512438,0.05548144156932855,0.010925039104121348,0.18431003731946127,0.026793594848223412,0.023004262938431497
2020-04-20,71.84600119590759,0,350,0.0,25146.100418567657,132817.71577477455,157963.8161933422,-0.002263738157405215,0.05309210795561503,-0.014052423516796697,0.16766761109985495,-0.01788104803401469,0.004711874573827712
2020-04-21,69.24800131320954,0,350,0.0,24236.80045962334,132817.71577477455,157054.5162343979,-0.005756381308434366,0.047030108229319634,-0.036160674768995094,0.12544396237658373,-0.030674795694063395,-0.02610745691012395
2020-04-22,71.57949967384337,0,350,0.0,25052.82488584518,132817.71577477455,157870.54066061974,0.005195803634223228,0.05247027107079871,0.0336688181091096,0.16333633043783657,0.022930247703843776,-0.0037758596601467076
2020-04-23,71.303750705719,0,350,0.0,24956.312747001648,132817.71577477455,157774.0285217762,-0.0006113372288437668,0.05182685681184185,-0.0038523455651526817,0.15885475688449335,-0.0005394221197431159,-0.004313244997668053
2020-04-24,72.54549822807311,0,350,0.0,25390.92437982559,132817.71577477455,158208.64015460014,0.0027546462297751706,0.05472426769733496,0.017414897674583596,0.17903609389534125,0.013918057304545428,0.00954478031583128
2020-04-27,73.09674940109252,0,350,0.0,25583.86229038238,132817.71577477455,158401.57806515694,0.0012195156368719484,0.05601052043438015,0.007598695804477806,0.1879952305153516,0.014714069804799612,0.02439929268446961
