index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-06-22,87.78749942779541,0,400,0.0,35114.999771118164,136568.73351097107,171683.73328208923,-0.000461100986361207,0.14455822188059808,-0.0022503724581887097,0.6039373621953474
2022-06-23,89.07700366973877,0,400,0.0,35630.80146789551,136568.73351097107,172199.53497886658,0.0030043713921914517,0.14799689985911368,0.014688927812597896,0.6274974823245636
2022-06-24,91.75199766159058,1,800,400.0,73401.59812927246,99867.93444633484,173269.5325756073,0.006213707817922076,0.1551302171707185,0.030030129906138292,0.6763714431406833
2022-06-27,91.37450094223023,1,800,0.0,73099.60075378418,99867.93444633484,172967.53520011902,-0.00174293409233095,0.15311690133413003,-0.004114316080099711,0.6694743211559497
2022-06-28,89.30200061798097,1,800,0.0,71441.60049438477,99867.93444633484,171309.5349407196,-0.009585615343834064,0.1420635662714671,-0.02268138597615499,0.6316083297005324
2022-06-29,89.39799766540527,1,800,0.0,71518.39813232422,99867.93444633484,171386.33257865906,0.000448297509919815,0.14257555052439663,0.0010749708490289667,0.6333622610919933
2022-06-30,88.22850093841554,1,800,0.0,70582.80075073242,99867.93444633484,170450.73519706726,-0.005458996452721188,0.13633823464711803,-0.013081911871973606,0.6119947599373803
2022-07-01,88.73450231552124,1,800,0.0,70987.60185241699,99867.93444633484,170855.53629875183,0.0023748862169268303,0.1390369086583485,0.005735123817403487,0.6212397494786268
2022-07-05,89.20799703598023,1,800,0.0,71366.39762878418,99867.93444633484,171234.33207511902,0.0022170529827305607,0.1415622138341297,0.005336083576322315,0.6298908202791007
2022-07-06,89.72899799346924,1,800,0.0,71783.19839477539,99867.93444633484,171651.13284111023,0.0024340957852329037,0.14434088560740443,0.005840294309924721,0.6394098623625752
2022-07-07,91.24249963760376,1,800,0.0,72993.99971008301,99867.93444633484,172861.93415641785,0.007053849836391235,0.15241289437612204,0.01686747515273357,0.6670625674811224
2022-07-08,91.27249774932862,1,800,0.0,73017.99819946289,99867.93444633484,172885.93264579773,0.00013883038794504365,0.15257288430532112,0.0003287734536427944,0.6676106533988717
2022-07-11,90.18399686813355,1,800,0.0,72147.19749450684,99867.93444633484,172015.13194084167,-0.005036851128542241,0.1467675462722806,-0.011925836457160832,0.6477230014722177
2022-07-12,88.94300060272217,1,800,0.0,71154.40048217773,99867.93444633484,171022.33492851257,-0.005771567891309393,0.1401488995234199,-0.013760714855274858,0.6250491550884809
2022-07-13,88.75800151824951,1,800,0.0,71006.40121459961,99867.93444633484,170874.33566093445,-0.0008653797624736947,0.1391622377395656,-0.0020799735023442345,0.6216690959058899
2022-07-14,89.29849853515624,1,800,0.0,71438.798828125,99867.93444633484,171306.73327445984,0.0025305006269835673,0.14204488849640162,0.006089558210654378,0.631544344263828
2022-07-15,90.83100156784057,1,800,0.0,72664.80125427246,99867.93444633484,172532.7357006073,0.007156767295207311,0.15021823800405132,0.017161576709836757,0.6595442176834121
2022-07-18,90.19250221252442,1,800,0.0,72154.00177001953,99867.93444633484,172021.93621635437,-0.002960594591969512,0.14681290810903191,-0.007029531154506441,0.6478783999029256
2022-07-19,92.64300403594972,1,800,0.0,74114.40322875977,99867.93444633484,173982.3376750946,0.011396229468517483,0.15988225116730037,0.027169684433979713,0.6926507360138596
2022-07-20,93.7155037879944,1,800,0.0,74972.40303039551,99867.93444633484,174840.33747673035,0.004931533930978782,0.16560224984487193,0.011576694465007753,0.7122460364206626
2022-07-21,94.68700008392334,1,800,0.0,75749.60006713867,99867.93444633484,175617.5345134735,0.004445181517946928,0.1707835634231598,0.010366441588220976,0.7299959349418803
2022-07-22,93.80100049972535,1,800,0.0,75040.80039978027,99867.93444633484,174908.7348461151,-0.004036041556568004,0.1660582323074371,-0.009357140720613222,0.7138081195325403
2022-07-25,93.42250261306762,1,800,0.0,74738.0020904541,99867.93444633484,174605.93653678894,-0.0017311788893366042,0.16403957691192939,-0.004035115666584321,0.7068927055398952
2022-07-26,92.32449922561645,1,800,0.0,73859.59938049316,99867.93444633484,173727.533826828,-0.0050307723058193865,0.15818355884552315,-0.011753093277738658,0.686831436356593
2022-07-27,95.54700164794922,1,800,0.0,76437.60131835938,99867.93444633484,176305.5357646942,0.014839339977254173,0.17537023843129806,0.03490408774877651,0.7457087488285783
2022-07-28,97.26149692535401,1,800,0.0,77809.1975402832,99867.93444633484,177677.13198661804,0.007779654881366893,0.18451421324412354,0.01794399874233621,0.7770337444220436
2022-07-29,98.53950090408325,1,800,0.0,78831.6007232666,99867.93444633484,178699.53516960144,0.005754275587138702,0.1913302344640131,0.013139875686985159,0.800383746915327
2022-08-01,98.00350275039673,1,800,0.0,78402.80220031738,99867.93444633484,178270.73664665222,-0.0023995502984507366,0.18847157764435152,-0.0054394242792872305,0.7905906958503217
2022-08-02,97.18049983978271,1,800,0.0,77744.39987182617,99867.93444633484,177612.334318161,-0.0036932720472021563,0.1840822287877435,-0.008397688730678476,0.7755538725425217
2022-08-03,99.0520022392273,1,800,0.0,79241.60179138185,99867.93444633484,179109.53623771667,0.008429605552470854,0.19406357491811477,0.01925800343206774,0.8097474951137669
2022-08-04,99.30800104141235,1,800,0.0,79446.40083312988,99867.93444633484,179314.33527946472,0.0011434290214242804,0.1954289018631017,0.002584488918929262,0.8144247674609484
2022-08-05,99.1610016822815,1,800,0.0,79328.8013458252,99867.93444633484,179196.73579216003,-0.0006558286994813312,0.19464490528107037,-0.0014802368146505929,0.8117389891227389
2022-08-08,98.90250225067138,1,800,0.0,79122.0018005371,99867.93444633484,178989.93624687195,-0.0011540363409741072,0.1932662416458164,-0.002606865876954023,0.8070160285740478
2022-08-09,98.41349964141845,1,800,0.0,78730.79971313477,99867.93444633484,178598.7341594696,-0.00218560940131729,0.1906582277298008,-0.0049442895591612634,0.798081618090732
2022-08-10,100.80650081634522,1,800,0.0,80645.20065307617,99867.93444633484,180513.135099411,0.010719006206572734,0.20342090066274343,0.0243157817133417,0.8418033782189984
2022-08-11,100.57199878692627,1,800,0.0,80457.59902954102,99867.93444633484,180325.53347587585,-0.0010392685464791773,0.2021702231725091,-0.002326258996393271,0.8375188665408289
2022-08-12,102.4000002861023,1,800,0.0,81920.00022888184,99867.93444633484,181787.93467521667,0.008109784405747833,0.211919564501448,0.018176048216451024,0.8709176980577134
2022-08-15,102.81399803161621,1,800,0.0,82251.19842529297,99867.93444633484,182119.1328716278,0.0018218931691085238,0.21412755247752213,0.004042946722238483,0.8784817186326537
2022-08-16,102.50799684524536,1,800,0.0,82006.39747619629,99867.93444633484,181874.33192253113,-0.0013441802914208045,0.21249554615021093,-0.002976259966826267,0.8728908686950723
2022-08-17,101.98000364303589,1,800,0.0,81584.00291442871,99867.93444633484,181451.93736076355,-0.00232245285688526,0.20967958240509366,-0.005150751340957105,0.8632440735416749
2022-08-18,102.13450241088867,1,800,0.0,81707.60192871094,99867.93444633484,181575.53637504578,0.0006811666829242835,0.21050357583364177,0.0015149908053895267,0.8660668711812871
2022-08-19,100.52100000381469,1,800,0.0,80416.80000305176,99867.93444633484,180284.7344493866,-0.00710889777019863,0.20189822966258042,-0.01579781923823187,0.8365870840639122
