index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-04-24,60.31249904632568,0,400,0.0,24124.99961853027,126148.40057373047,150273.40019226074,0.0025431568613907274,0.0018226679484052433,0.016054691124469223,0.10195040590419224,0.013918057304545428,0.00954478031583128
2020-04-27,61.13600001335144,0,400,0.0,24454.400005340576,126148.40057373047,150602.80057907104,0.0021920072773282673,0.004018670527140555,0.013653902259848971,0.11699632904160895,0.014714069804799612,0.02439929268446961
2020-04-28,60.67449848651886,0,400,0.0,24269.799394607544,126148.40057373047,150418.199968338,-0.0012257448734236398,0.0027879997889201924,-0.007548768757062896,0.10856438205118568,-0.005242380698498916,0.019029001604944584
2020-04-29,62.93349967002869,0,400,0.0,25173.399868011475,126148.40057373047,151321.80044174194,0.006007254930547878,0.008812002944946329,0.0372314768124824,0.14983787113666835,0.026583916282167053,0.046118783272710795
2020-04-30,62.57650194168091,0,400,0.0,25030.600776672363,126148.40057373047,151179.00135040283,-0.0009436782467711069,0.007860009002685686,-0.005672618402275065,0.14331527966922564,-0.009212446303987654,0.03648147015421799
2020-05-01,60.793500709533696,0,400,0.0,24317.400283813477,126148.40057373047,150465.80085754395,-0.004717589655231502,0.0031053390502930878,-0.028493143221858364,0.11073863365787129,-0.028059034078492195,0.007398801261434995
2020-05-04,61.445501184463495,0,400,0.0,24578.200473785397,126148.40057373047,150726.60104751587,0.0017332854940161901,0.004844006983439231,0.010724838466615205,0.12265112608248074,0.004249827591976452,0.011680072483159831
2020-05-05,62.20949988365174,0,400,0.0,24883.799953460693,126148.40057373047,151032.20052719116,0.0020275085986909414,0.006881336847941233,0.01243376137326413,0.13660990228961656,0.009040556385797371,0.02082622322283134
2020-05-06,62.282499217987066,0,400,0.0,24912.999687194828,126148.40057373047,151061.4002609253,0.0001933344917985913,0.00707600173950218,0.001173443517016759,0.1379436498108353,-0.006979410390386298,0.013701458073691164
2020-05-07,63.35800185203552,0,400,0.0,25343.20074081421,126148.40057373047,151491.60131454468,0.002847855592999382,0.009944008763631551,0.017268135472281232,0.15759381491559088,0.011504630788313985,0.025363719078404623
2020-05-08,64.47349920272828,0,400,0.0,25789.399681091312,126148.40057373047,151937.80025482178,0.0029453708087132657,0.012918668365478725,0.017606258374401662,0.17797471071360405,0.016871538638701944,0.042663182683559064
2020-05-11,64.42800221443177,0,400,0.0,25771.20088577271,126148.40057373047,151919.60145950317,-0.000119777930759013,0.012797343063354782,-0.0007056695985034889,0.17714344977244756,0.00013307822091168653,0.04280193844492075
2020-05-12,62.75550098419189,0,400,0.0,25102.200393676758,126148.40057373047,151250.60096740723,-0.004403648282833905,0.008337339782715114,-0.025959228483810493,0.1465857140015836,-0.020500317528877154,0.02142416758707122
2020-05-13,61.71800065040589,0,400,0.0,24687.200260162357,126148.40057373047,150835.60083389282,-0.002743791633620263,0.005570672225952311,-0.016532420545050663,0.1276298767867623,-0.01746272460422804,0.003587318644395321
2020-05-14,62.42800054550171,0,400,0.0,24971.200218200684,126148.40057373047,151119.60079193115,0.0018828443448910548,0.007464005279541164,0.011503935442068736,0.1406020580918652,0.01152482269503552,0.015153484550758156
2020-05-15,62.60750102996826,0,400,0.0,25043.000411987305,126148.40057373047,151191.40098571777,0.0004751216480878284,0.007942673238118703,0.002875320095118594,0.1438816541100303,0.0039263632504382695,0.019139345886052705
2020-05-18,64.85500135421753,0,400,0.0,25942.000541687015,126148.40057373047,152090.40111541748,0.005946106219259395,0.013936007436116782,0.035898259589908665,0.18494501466940627,0.03150119163168075,0.05124344972019501
2020-05-19,64.54000177383423,0,400,0.0,25816.000709533695,126148.40057373047,151964.40128326416,-0.0008284535462412812,0.01309600855509463,-0.004856982095534534,0.17918975794896408,-0.010484399194493177,0.04022179374273227
2020-05-20,65.63799996376036,0,400,0.0,26255.199985504147,126148.40057373047,152403.60055923462,0.002890145799026911,0.016024003728231095,0.017012676785690406,0.19925093216994627,0.01665110025908012,0.057542631122022625
2020-05-21,64.90399985313415,0,400,0.0,25961.599941253662,126148.40057373047,152110.00051498413,-0.0019264639626173086,0.014066670099894596,-0.011182548387084656,0.18584025059269949,-0.007773596407737116,0.04932172152370362
2020-05-22,65.17149906158447,0,400,0.0,26068.59962463379,126148.40057373047,152217.00019836426,0.0007034362173286013,0.014780001322428626,0.004121459525693538,0.19072764318945556,0.002353711326488428,0.0517915219447842
2020-05-26,65.70949935913086,0,400,0.0,26283.799743652344,126148.40057373047,152432.2003173828,0.001413771909432704,0.0162146687825524,0.008255146886187115,0.20055727478542784,0.012289184036080147,0.0647171815255525
2020-05-27,66.1320008277893,0,400,0.0,26452.80033111572,126148.40057373047,152601.2009048462,0.0011086934854414032,0.01734133936564164,0.00642983849792067,0.20827666416980195,0.014827297215913804,0.08050405962692198
2020-05-28,66.12749996185303,0,400,0.0,26450.999984741215,126148.40057373047,152599.40055847168,-1.1797720881889795e-05,0.01732933705647821,-6.80588199347687e-05,0.2081944302858838,-0.0021079145460738413,0.07822644940254264
2020-05-29,66.60200090408325,0,400,0.0,26640.8003616333,126148.40057373047,152789.20093536377,0.0012437819296633457,0.018594672902425557,0.00717554636881701,0.21686388544294655,0.004812335824971425,0.08341523717243415
2020-06-01,66.95700125694275,0,400,0.0,26782.8005027771,126148.40057373047,152931.20107650757,0.0009293859793393366,0.019541340510050853,0.005330175490834588,0.22334998350081636,0.003751234813537785,0.08747938212763273
2020-06-02,67.55200033187866,0,400,0.0,27020.800132751465,126148.40057373047,153169.20070648193,0.0015562529313772888,0.021128004709879855,0.008886286180180614,0.23422102155272384,0.008210832780053412,0.09640849348603853
2020-06-03,68.48849844932556,0,400,0.0,27395.399379730225,126148.40057373047,153543.7999534607,0.0024456564717381113,0.02362533302307157,0.013863366189690085,0.25133147953352264,0.013648979133831007,0.11137335013578453
2020-06-04,67.95949845314026,0,400,0.0,27183.799381256104,126148.40057373047,153332.19995498657,-0.0013781083869114363,0.02221466636657743,-0.007723924573652452,0.24166628956896874,-0.0033687022311144066,0.10762946425158093
